unique_id,ds,y,IR_A,IY_A,IB_A,VRY_kV,VYB_kV,VBR_kV,avg_current,current_imbalance_pct,avg_voltage,voltage_imbalance_pct,tod_sin,tod_cos,hour,minute,day_of_week,is_weekend
EP_FD03,2026-06-22 01:30:00,0.2276,17.56,17.16,17.69,11.195,11.111,11.104,17.47,1.774470520892952,11.136666666666665,0.5237952708770011,0.3826834323650898,0.9238795325112867,1.0,30.0,0.0,0.0
EP_FD03,2026-06-22 01:33:00,0.2273,11.56,10.66,11.66,11.176,11.086,11.126,11.293333333333331,5.608028335301044,11.129333333333333,0.4193123277824385,0.39474385638426723,0.9187912101488983,1.0,33.0,0.0,0.0
EP_FD03,2026-06-22 01:36:00,0.2715,16.09,16.34,16.4,11.131,11.111,11.075,16.276666666666667,1.146835961499083,11.105666666666666,0.27613530630008865,0.40673664307580015,0.9135454576426009,1.0,36.0,0.0,0.0
EP_FD03,2026-06-22 01:39:00,0.2923,15.7,15.77,16.75,11.227,11.049,11.135,16.073333333333334,4.2098714226461995,11.137,0.8081170871868533,0.418659737537428,0.9081431738250814,1.0,39.0,0.0,0.0
EP_FD03,2026-06-22 01:42:00,0.3366,20.52,19.27,20.61,11.17,11.087,11.189,20.133333333333333,4.288079470198675,11.148666666666665,0.5531304191831519,0.4305110968082951,0.9025852843498606,1.0,42.0,0.0,0.0
EP_FD03,2026-06-22 01:45:00,0.484,20.45,19.02,19.92,11.326,11.182,11.144,19.796666666666667,3.9232193972049196,11.217333333333334,0.9687388565315544,0.4422886902190013,0.8968727415326883,1.0,45.0,0.0,0.0
EP_FD03,2026-06-22 01:48:00,0.4883,21.69,20.32,20.88,11.259,11.23,11.215,20.963333333333335,3.4663698521227535,11.234666666666667,0.21659150249228168,0.45399049973954675,0.8910065241883679,1.0,48.0,0.0,0.0
EP_FD03,2026-06-22 01:51:00,0.4229,28.87,26.65,30.14,11.283,11.195,11.159,28.55333333333333,6.665888395984121,11.212333333333333,0.6302583464637095,0.4656145203251114,0.8849876374630419,1.0,51.0,0.0,0.0
EP_FD03,2026-06-22 01:54:00,0.4607,27.97,26.83,29.33,11.338,11.199,11.207,28.043333333333333,4.58813740639486,11.248,0.8001422475106673,0.4771587602596084,0.8788171126619654,1.0,54.0,0.0,0.0
EP_FD03,2026-06-22 01:57:00,0.3928,24.84,22.55,26.39,11.256,11.206,11.213,24.593333333333334,8.308484684196259,11.225,0.27616926503341277,0.4886212414969549,0.8724960070727972,1.0,57.0,0.0,0.0
EP_FD03,2026-06-22 02:00:00,0.4236,25.07,22.58,25.1,11.299,11.185,11.276,24.25,6.8865979381443365,11.253333333333336,0.6072274881516746,0.49999999999999994,0.8660254037844387,2.0,0.0,0.0,0.0
