unique_id,ds,y,IR_A,IY_A,IB_A,VRY_kV,VYB_kV,VBR_kV,avg_current,current_imbalance_pct,avg_voltage,voltage_imbalance_pct,tod_sin,tod_cos,hour,minute,day_of_week,is_weekend
ML_FD05,2026-07-11 14:48:00,0.0,7.88,7.83,7.96,10.776,10.891,10.845,7.890000000000001,0.887198986058294,10.837333333333333,0.565944881889767,-0.6691306063588582,-0.7431448254773942,14.0,48.0,5.0,1.0
ML_FD05,2026-07-11 14:51:00,0.0,7.79,7.77,7.71,10.927,10.935,10.944,7.756666666666667,0.6016330038676432,10.935333333333334,0.07925379503749252,-0.6788007455329418,-0.7343225094356854,14.0,51.0,5.0,1.0
ML_FD05,2026-07-11 14:54:00,0.0,7.95,7.71,7.69,10.923,10.91,10.912,7.783333333333334,2.1413276231263305,10.915,0.07329363261567472,-0.6883545756937541,-0.7253743710122875,14.0,54.0,5.0,1.0
ML_FD05,2026-07-11 14:57:00,0.0187,8.14,7.89,7.65,10.896,10.965,10.941,7.8933333333333335,3.1250000000000044,10.934,0.3475397841594886,-0.69779045984168,-0.7163019434246544,14.0,57.0,5.0,1.0
ML_FD05,2026-07-11 15:00:00,0.0,7.93,7.91,7.68,10.919,10.98,10.895,7.84,2.040816326530614,10.931333333333333,0.4452033908641903,-0.7071067811865475,-0.7071067811865477,15.0,0.0,5.0,1.0
ML_FD05,2026-07-11 15:03:00,0.0,7.92,7.96,7.74,10.986,11.001,10.975,7.873333333333332,1.693480101608789,10.987333333333334,0.12438565621017175,-0.7163019434246541,-0.6977904598416802,15.0,3.0,5.0,1.0
ML_FD05,2026-07-11 15:06:00,0.0,7.83,7.86,7.8,11.017,10.981,11.011,7.830000000000001,0.3831417624521217,11.003,0.1999454694174338,-0.7253743710122873,-0.6883545756937544,15.0,6.0,5.0,1.0
ML_FD05,2026-07-11 15:09:00,0.0,7.93,7.87,7.7,11.002,11.028,11.043,7.833333333333333,1.702127659574462,11.024333333333333,0.20258216672208937,-0.7343225094356853,-0.678800745532942,15.0,9.0,5.0,1.0
ML_FD05,2026-07-11 15:12:00,0.0,8.11,7.99,7.74,10.959,11.022,11.012,7.946666666666668,2.600671140939612,10.997666666666667,0.3515897311551032,-0.743144825477394,-0.6691306063588585,15.0,12.0,5.0,1.0
ML_FD05,2026-07-11 15:15:00,0.0,8.08,8.07,7.67,10.996,11.103,10.957,7.94,3.400503778337537,11.018666666666666,0.765367860600194,-0.7518398074789773,-0.6593458151000691,15.0,15.0,5.0,1.0
ML_FD05,2026-07-11 15:18:00,0.0,8.21,7.99,7.69,10.936,11.013,10.887,7.963333333333335,3.4323984930933564,10.945333333333332,0.6182239005969149,-0.7604059656000312,-0.6494480483301834,15.0,18.0,5.0,1.0
ML_FD05,2026-07-11 15:21:00,0.0,5.220000000000001,6.365,1.43,10.908,10.975,10.89,4.338333333333334,67.0380330388014,10.924333333333331,0.4637964177829451,-0.7688418320734591,-0.6394390019805851,15.0,21.0,5.0,1.0
ML_FD05,2026-07-11 15:24:00,0.0,2.23,4.74,1.43,10.886,11.021,10.866,2.8000000000000003,69.28571428571428,10.924333333333331,0.884874744454301,-0.7771459614569711,-0.6293203910498372,15.0,24.0,5.0,1.0
ML_FD05,2026-07-11 15:27:00,0.0,1.73,3.115,1.78,10.952,10.98,10.932,2.2083333333333335,41.056603773584904,10.954666666666668,0.23125608568645614,-0.7853169308807447,-0.6190939493098343,15.0,27.0,5.0,1.0
ML_FD05,2026-07-11 15:30:00,0.0,1.23,1.49,2.28,10.904,10.904,10.898,1.6666666666666667,36.79999999999998,10.902000000000001,0.03669051550175505,-0.7933533402912349,-0.6087614290087209,15.0,30.0,5.0,1.0
